"id","data.list.id","title","created","url"
19132,582169,"Zone immunizes over 109,000 children against measles",2013-06-11,"http://reliefweb.int/node/582169"
19352,582501,"Operationalizing civilian protection in Mali: the case for a civilian casualty tracking, analysis, and response cell",2013-06-12,"http://reliefweb.int/node/582501"
19572,585202,"USG and MoPHP Launch Two New Health Projects",2013-06-14,"http://reliefweb.int/node/585202"
19792,583331,"Les agriculteurs libanais menacés par la crise syrienne",2013-06-17,"http://reliefweb.int/node/583331"
20012,583821,"SNNPR Region: Who Does What Where (3W) (as of 18 June 2013)",2013-06-19,"http://reliefweb.int/node/583821"
20232,584035,"Katanga : l’Unicef construit des écoles pour les enfants de Bendera",2013-06-20,"http://reliefweb.int/node/584035"
20452,584689,"India's children at risk of trafficking as families try to cope after floods, says Tearfund",2013-06-24,"http://reliefweb.int/node/584689"
20672,584912,"UN Iraq Newsletter - Issue 3, Summer 2013",2013-06-25,"http://reliefweb.int/node/584912"
20892,585693,"Niger Mise à jour sur la sécurité alimentaire Juin 2013",2013-06-27,"http://reliefweb.int/node/585693"
21112,585834,"UK support in Syria and the region - 18 June 2013",2013-06-28,"http://reliefweb.int/node/585834"
21332,586340,"L’ONUCI condamne l’attaque contre le convoi du Directeur de l’ADDR",2013-07-01,"http://reliefweb.int/node/586340"
21552,586613,"Syrian Refugees Straining Lebanese Villages",2013-07-02,"http://reliefweb.int/node/586613"
21772,587160,"Israel and the occupied territories: ICRC president urges fresh dialogue",2013-07-04,"http://reliefweb.int/node/587160"
21992,587210,"Final nod to raise Narmada dam height will be delayed",2013-07-05,"http://reliefweb.int/node/587210"
22212,587870,"No early warning for Nepal’s deadly landslides",2013-07-09,"http://reliefweb.int/node/587870"
22432,588330,"Civil and Political Rights in Tajikistan: Still a Long Way to Go",2013-07-10,"http://reliefweb.int/node/588330"
22652,588759,"South Sudan gunmen battle rivals in war-torn Jonglei",2013-07-12,"http://reliefweb.int/node/588759"
22872,589275,"Delegación de la SNGR coordina entrega final de ayuda solidaria a Cuba",2013-07-15,"http://reliefweb.int/node/589275"
23092,589788,"73 million people need humanitarian help this year",2013-07-17,"http://reliefweb.int/node/589788"
23312,590217,"Ban Ki-moon exhorte les dirigeants Guinéens à poursuivre la voie du dialogue en vue de résoudre tout problème entre les communautés",2013-07-19,"http://reliefweb.int/node/590217"
23532,590470,"UP flood toll rises to 152, over 5 lakh homeless",2013-07-22,"http://reliefweb.int/node/590470"
23752,591260,"UN Must Not Make Congo Crisis Worse",2013-07-24,"http://reliefweb.int/node/591260"
23972,591509,"Why is family planning seldom prioritised in refugee settings?",2013-07-25,"http://reliefweb.int/node/591509"
24192,591925,"UN Secretary General's Special Representative for Somalia, Nicholas Kay on the attack against Turkish targets in Mogadishu",2013-07-28,"http://reliefweb.int/node/591925"
24412,592462,"Bombs kill 24 in mainly Christian area of north Nigeria",2013-07-30,"http://reliefweb.int/node/592462"
24632,619459,"Uzbekistan 2012-2015: Long Term Planning Framework - Revision n°1",2013-07-31,"http://reliefweb.int/node/619459"
24852,592921,"Niger Perspectives sur la sécurité alimentaire Juillet à Décembre 2013",2013-08-01,"http://reliefweb.int/node/592921"
25072,593461,"6 killed, 9 injured in Syria brought to Lebanon: army",2013-08-03,"http://reliefweb.int/node/593461"
25292,593850,"President Clinton, Chelsea Clinton see firsthand how clean water saves lives",2013-08-06,"http://reliefweb.int/node/593850"
25512,594378,"Violent and Chaotic, Central African Republic Lurches Toward a Crisis",2013-08-07,"http://reliefweb.int/node/594378"
25732,594666,"Central China to see extreme heat",2013-08-09,"http://reliefweb.int/node/594666"
25952,608493,"Somalia: South Central - WASH Cluster Intervention (April - June 2013)",2013-08-13,"http://reliefweb.int/node/608493"
26172,595556,"Number of adult dengue fever patients on the rise",2013-08-14,"http://reliefweb.int/node/595556"
26392,595988,"Darfur’s East Jebel Marra shelled – at least two civilians die: witnesses",2013-08-16,"http://reliefweb.int/node/595988"
26612,596438,"The good, the bad and the very ugly",2013-08-19,"http://reliefweb.int/node/596438"
26832,596697,"Refuerzan prevención de riesgos en Mérida con sistema de alerta temprana",2013-08-20,"http://reliefweb.int/node/596697"
27052,597348,"RD Congo-Province du Maniema : Qui Fait Quoi Où (3W) au 31 juillet 2013",2013-08-22,"http://reliefweb.int/node/597348"
